187	1792	1
187	1360	1
65	364	1
441	1792	1
441	1360	1
194	2047	1
194	758	1
194	283	1
125	2047	1
125	758	1
125	283	1
309	2047	1
309	758	1
309	283	1
254	2047	1
254	758	1
254	283	1
174	870	1
622	2047	1
622	758	1
622	283	1
54	978	1
54	496	1
137	2047	1
137	758	1
137	283	1
497	2047	1
497	758	1
497	283	1
794	2047	1
794	758	1
794	283	1
574	2047	1
574	758	1
574	283	1
710	2047	1
710	758	1
710	283	1
801	1871	1
801	669	1
441	1621	1
242	1621	1
801	592	1
812	103	1
658	1792	1
458	1621	1
343	1621	1
375	1792	1
375	1360	1
658	1360	1
438	2047	1
438	758	1
438	283	1
609	1792	1
609	1360	1
764	978	1
446	2047	1
446	758	1
446	283	1
543	1792	1
543	1360	1
764	496	1
77	2047	1
77	758	1
77	283	1
735	978	1
524	978	1
327	978	1
534	186	1
218	1792	1
218	1360	1
154	978	1
222	1621	1
174	574	1
325	978	1
54	261	1
524	496	1
807	978	1
327	496	1
659	1792	1
659	1360	1
394	2047	1
394	758	1
394	283	1
154	496	1
580	978	1
351	2047	1
351	758	1
351	283	1
333	186	1
494	1621	1
296	978	1
37	978	1
807	496	1
736	978	1
580	496	1
673	978	1
735	496	1
296	496	1
37	496	1
318	2047	1
318	758	1
318	283	1
736	496	1
673	496	1
325	496	1
773	2047	1
773	758	1
773	283	1
790	1959	1
22	186	1
219	774	1
74	1809	1
81	1621	1
446	1871	1
446	669	1
446	592	1
287	1871	1
287	669	1
287	592	1
288	1871	1
288	669	1
288	592	1
684	1453	1
203	1453	1
797	2047	1
797	758	1
797	283	1
764	261	1
414	13	1
414	898	1
409	1809	1
516	1453	1
735	261	1
801	1792	1
801	1360	1
524	261	1
327	261	1
325	261	1
154	261	1
91	2047	1
91	758	1
91	283	1
393	1871	1
393	669	1
393	592	1
494	1929	1
100	870	1
494	1061	1
442	186	1
140	1517	1
140	20	1
117	1453	1
598	13	1
598	898	1
505	1809	1
658	2047	1
658	758	1
658	283	1
233	1959	1
110	1871	1
492	2047	1
492	758	1
492	283	1
250	978	1
1	978	1
494	1895	1
494	1485	1
494	54	1
456	13	1
456	898	1
807	261	1
174	330	1
174	680	1
736	261	1
168	2047	1
168	758	1
168	283	1
144	2047	1
144	758	1
144	283	1
222	1929	1
673	261	1
580	261	1
114	415	1
110	669	1
110	592	1
595	978	1
37	261	1
250	496	1
14	13	1
14	898	1
677	1959	1
296	261	1
119	1792	1
119	1360	1
812	75	1
494	538	1
179	1691	1
214	1453	1
769	978	1
494	60	1
785	1792	1
785	1360	1
385	1453	1
222	1895	1
222	1485	1
222	54	1
222	1061	1
61	978	1
90	574	1
595	496	1
389	2046	1
737	1871	1
1	496	1
814	978	1
494	2084	1
188	415	1
394	1792	1
624	978	1
