0,hsa_circ_0075082
1,hsa_circ_0091423
2,hsa_circ_0008578
3,hsa_circ_0041577
4,hsa_circ_0019688
5,hsa_circ_0060123
6,hsa_circ_0078473
7,hsa_circ_0081108
8,hsa_circ_0044505
9,hsa_circ_0038317
10,hsa_circ_0030856
11,hsa_circ_0058199
12,hsa_circ_0041734
13,hsa_circ_0068831
14,hsa_circ_0086929
15,hsa_circ_0051235
16,hsa_circ_0046844
17,hsa_circ_0078806
18,hsa_circ_0015701
19,hsa_circ_0086917
20,hsa_circ_0079117
21,hsa_circ_0055724
22,hsa_circ_0019904
23,hsa_circ_0016596
24,hsa_circ_0081142
25,hsa_circ_0015218
26,hsa_circ_0066904
27,hsa_circ_0038027
28,hsa_circ_0011484
29,hsa_circ_0051785
30,hsa_circ_0041667
31,hsa_circ_0051750
32,hsa_circ_0040867
33,hsa_circ_0012044
34,hsa_circ_0055233
35,hsa_circ_0050775
36,hsa_circ_0078202
37,hsa_circ_0033276
38,hsa_circ_0037460
39,hsa_circ_0016162
40,hsa_circ_0050318
41,hsa_circ_0068917
42,hsa_circ_0091353
43,hsa_circ_0056345
44,hsa_circ_0052202
45,hsa_circ_0029559
46,hsa_circ_0057345
47,hsa_circ_0045757
48,hsa_circ_0081085
49,hsa_circ_0063079
50,hsa_circ_0057396
51,hsa_circ_0024412
52,hsa_circ_0053903
53,hsa_circ_0035149
54,hsa_circ_0052935
55,hsa_circ_0009517
56,hsa_circ_0091919
57,hsa_circ_0049515
58,hsa_circ_0009519
59,hsa_circ_0089629
60,hsa_circ_0049105
61,hsa_circ_0076014
62,hsa_circ_0061675
63,hsa_circ_0010553
64,hsa_circ_0029296
65,hsa_circ_0091307
66,hsa_circ_0045739
67,hsa_circ_0046101
68,hsa_circ_0055714
69,hsa_circ_0027289
70,hsa_circ_0010744
71,hsa_circ_0063105
72,hsa_circ_0014210
73,hsa_circ_0089512
74,hsa_circ_0007346
75,hsa_circ_0052317
76,hsa_circ_0013869
77,hsa_circ_0033277
78,hsa_circ_0044515
79,hsa_circ_0029292
80,hsa_circ_0032902
81,hsa_circ_0054633
82,hsa_circ_0020554
83,hsa_circ_0033296
84,hsa_circ_0078999
85,hsa_circ_0018308
86,hsa_circ_0007033
87,hsa_circ_0010565
88,hsa_circ_0026671
89,hsa_circ_0081096
90,hsa_circ_0076007
91,hsa_circ_0039603
92,hsa_circ_0015853
93,hsa_circ_0059136
94,hsa_circ_0050271
95,hsa_circ_0051922
96,hsa_circ_0017182
97,hsa_circ_0081081
98,hsa_circ_0010641
99,hsa_circ_0049495
100,hsa_circ_0061083
101,hsa_circ_0089531
102,hsa_circ_0015224
103,hsa_circ_0069972
104,hsa_circ_0015213
105,hsa_circ_0068732
106,hsa_circ_0013835
107,hsa_circ_0051593
108,hsa_circ_0029351
109,hsa_circ_0048450
110,hsa_circ_0009641
111,hsa_circ_0010657
112,hsa_circ_0020792
113,hsa_circ_0041657
114,hsa_circ_0063098
115,hsa_circ_0073943
116,hsa_circ_0044553
117,hsa_circ_0081378
118,hsa_circ_0061901
119,hsa_circ_0048941
120,hsa_circ_0046918
121,hsa_circ_0004790
122,hsa_circ_0058371
123,hsa_circ_0044526
124,hsa_circ_0044539
125,hsa_circ_0065399
126,hsa_circ_0025831
127,hsa_circ_0091222
128,hsa_circ_0042663
129,hsa_circ_0025081
130,hsa_circ_0033295
131,hsa_circ_0039097
132,hsa_circ_0030277
133,hsa_circ_0033577
134,hsa_circ_0066497
135,hsa_circ_0081102
136,hsa_circ_0050500
137,hsa_circ_0035718
138,hsa_circ_0041572
139,hsa_circ_0074308
140,hsa_circ_0010621
141,hsa_circ_0075975
142,hsa_circ_0045681
143,hsa_circ_0009566
144,hsa_circ_0044520
145,hsa_circ_0039106
146,hsa_circ_0075997
147,hsa_circ_0010753
